Date,Open,High,Low,Close,Volume,fng_score,avg_sentiment,news_count,price_change,rsi,volatility_7d,sentiment_sma3,price_change_lag1,sentiment_lag1,Cluster,Risk_Level
2022-01-08,41561.46484375,42228.94140625,40672.27734375,41733.94140625,28066355845,10,0.0,1,0.004235994902819673,17.96626891680657,0.026767645139063236,-0.06996562367393856,-0.03714070469186992,-0.14239359753472466,2,High Risk
2022-01-10,41910.23046875,42199.484375,39796.5703125,41821.26171875,32104232331,23,-0.14727399746576944,6,0.002092309270528725,18.253658372601123,0.02043290043646239,-0.0965558650001647,0.004235994902819673,0.0,0,Low Risk
2022-01-11,41819.5078125,43001.15625,41407.75390625,42735.85546875,26327648900,21,0.5991920113563538,5,0.021869109453241498,23.827407975733223,0.02499148940946082,0.15063933796352813,0.002092309270528725,-0.14727399746576944,0,Low Risk
2022-01-12,42742.1796875,44135.3671875,42528.98828125,43949.1015625,33499938689,22,0.49963049093882245,6,0.028389418684672707,28.691808762573316,0.029187703898848255,0.3171828349431356,0.021869109453241498,0.5991920113563538,1,Medium Risk
2022-01-13,43946.7421875,44278.421875,42447.04296875,42591.5703125,47691135082,21,0.5718902179173061,7,-0.030888714484173407,32.16178568291244,0.024718246681024496,0.5569042400708275,0.028389418684672707,0.49963049093882245,1,Medium Risk
2022-01-14,42598.87109375,43346.6875,41982.6171875,43099.69921875,23577403399,21,0.08324940005938213,12,0.011930269358978673,37.49175804512662,0.025107702770884754,0.38492336963850354,-0.030888714484173407,0.5718902179173061,1,Medium Risk
2022-01-15,43101.8984375,43724.671875,42669.03515625,43177.3984375,18371348298,23,0.0,1,0.001802778677309158,34.26832744936365,0.019079289737098663,0.2183798726588961,0.011930269358978673,0.08324940005938213,0,Low Risk
2022-01-17,43118.12109375,43179.390625,41680.3203125,42250.55078125,21690904261,22,0.07475259048598153,14,-0.02146603755183696,34.12029198955739,0.021687756043962683,0.05266733018178788,0.001802778677309158,0.0,0,Low Risk
2022-01-18,42250.07421875,42534.40234375,41392.21484375,42375.6328125,22417209227,24,-0.0034229299601386642,17,0.0029604828561313745,26.93879323270268,0.021691112208095387,0.023776553508614285,-0.02146603755183696,0.07475259048598153,0,Low Risk
2022-01-19,42374.0390625,42478.3046875,41242.9140625,41744.328125,23091543258,24,0.20079728563626606,30,-0.014897823244158781,28.412778487375718,0.02052210309133737,0.09070898205403631,0.0029604828561313745,-0.0034229299601386642,0,Low Risk
2022-01-20,41744.02734375,43413.0234375,40672.82421875,40680.41796875,20382033940,24,0.07368314808065243,22,-0.02548634039729203,27.160559696183697,0.016404365689325146,0.09035250125225995,-0.014897823244158781,0.20079728563626606,0,Low Risk
2022-01-21,40699.60546875,41060.52734375,35791.42578125,36457.31640625,43011992031,19,-0.33246901879707974,24,-0.10381165615712484,23.29626926443703,0.038930005606740224,-0.019329528360053767,-0.02548634039729203,0.07368314808065243,2,High Risk
